customer_id,order_id,purchase_date,product_id,product_category,quantity,unit_price,discount,total_order_value
82a351de,d9be0aa8,2024-04-24,book_44,Sci-Fi,5,7.76,0.27,28.32
e41ff46a,e6f8d5ee,2024-10-09,book_71,Children,3,27.73,0.02,81.53
61527dcf,7fe2a74c,2024-02-22,book_60,Sci-Fi,5,36.45,0.12,160.38
b37edfdb,cc1b95c3,2024-10-09,book_35,Children,3,20.07,0.09,54.79
4b9eda94,12a22cb8,2024-01-09,book_26,Sci-Fi,3,33.73,0.05,96.13
be672604,0fcda97b,2024-06-07,book_85,Children,1,15.2,0.0,15.2
f98747e1,08d4cb61,2024-08-22,book_83,Romance,3,23.38,0.02,68.74
5ade09ec,2457e547,2024-02-11,book_1,Non-Fiction,1,47.2,0.26,34.93
6bbc50ed,4cfce1cc,2024-09-18,book_36,Children,5,24.41,0.02,119.61
97efcde6,5a2240a9,2024-08-21,book_20,Non-Fiction,4,15.67,0.13,54.53
466f4ee8,269473de,2024-10-21,book_52,Sci-Fi,1,25.47,0.21,20.12
34206a93,acad21e2,2024-07-12,book_48,Educational,4,49.03,0.16,164.74
decc59fd,b78914d3,2024-08-19,book_46,Fiction,4,46.86,0.13,163.07
011b92da,a749cd48,2024-05-30,book_66,Fantasy,2,33.94,0.08,62.45
82ae0e8e,47883740,2024-08-19,book_52,Fiction,5,19.45,0.19,78.77
e3520d3b,ba64c486,2024-03-09,book_50,Children,1,25.72,0.01,25.46
724866a5,9f00f438,2024-09-08,book_61,Children,1,41.12,0.12,36.19
13a4adc0,6f561a25,2024-01-10,book_28,Children,5,45.24,0.16,190.01
787af50b,4de5a6fe,2024-03-06,book_24,Non-Fiction,5,44.11,0.04,211.73
f062f660,c66c3a50,2024-09-27,book_71,Romance,1,16.02,0.15,13.62
8a299262,f20662d2,2024-09-19,book_100,Educational,3,22.29,0.01,66.2
33f1f60d,785c7ef0,2024-10-02,book_47,Children,4,20.4,0.3,57.12
d9f06ab5,5500348b,2024-10-02,book_71,Romance,1,32.55,0.0,32.55
ce91c8d2,53376c3e,2024-05-11,book_63,Educational,2,26.51,0.09,48.25
9d336dc6,2235d55d,2024-09-27,book_34,Fantasy,1,21.57,0.0,21.57
ef85a716,d9fc3293,2024-01-15,book_67,Non-Fiction,3,33.09,0.25,74.45
7e62d1de,bbb344c5,2024-09-27,book_23,Fiction,4,7.16,0.13,24.92
9dc55de5,670c7a09,2024-09-11,book_44,Romance,5,36.02,0.06,169.29
8cf16dd9,c39fda8a,2024-01-22,book_19,Non-Fiction,3,23.27,0.27,50.96
ab70a7d2,7b24c5de,2024-05-17,book_11,Educational,2,44.01,0.3,61.61
e5e35fcd,a963c2d3,2024-01-13,book_36,Children,2,22.19,0.24,33.73
5c011688,50095c3e,2024-09-21,book_2,Sci-Fi,1,40.92,0.21,32.33
da98e61c,ae9b716d,2024-09-07,book_48,Children,3,35.48,0.04,102.18
5c0c853c,5370a874,2024-04-09,book_60,Children,4,32.94,0.28,94.87
668eae9a,10b81ea8,2024-05-02,book_19,Non-Fiction,1,27.52,0.11,24.49
9c5c5474,44ce3f52,2024-01-11,book_26,Fiction,2,26.68,0.13,46.42
228fd172,05cd2754,2024-01-28,book_94,Fantasy,2,18.13,0.04,34.81
6c8caec9,c0c213a5,2024-09-03,book_93,Romance,4,39.5,0.1,142.2
68425618,9be36a74,2024-01-08,book_26,Educational,1,30.29,0.2,24.23
63b0e5ab,48b4c4cb,2024-06-19,book_11,Educational,5,27.27,0.14,117.26
91c0d658,f331d790,2024-03-12,book_73,Non-Fiction,5,38.65,0.13,168.13
7ad300dc,8e4951a5,2024-10-04,book_98,Romance,3,18.59,0.07,51.87
e109d70c,15d875dc,2024-04-16,book_21,Children,3,14.01,0.03,40.77
0ff50455,7f171523,2024-02-16,book_34,Children,3,36.91,0.3,77.51
80132233,75e0ba73,2024-08-07,book_1,Sci-Fi,3,38.26,0.29,81.49
5fe9ba69,0a544ce8,2024-04-24,book_20,Sci-Fi,5,34.0,0.13,147.9
b947addc,2f19b5b8,2024-07-20,book_34,Fiction,2,18.42,0.21,29.1
ca4eac43,a217af24,2024-10-25,book_17,Sci-Fi,4,47.57,0.07,176.96
c9fe6702,6b3ef160,2024-05-27,book_68,Romance,4,39.84,0.15,135.46
cbc960c6,7eea5f7d,2024-02-15,book_77,Fantasy,3,24.1,0.3,50.61
64390c54,906cc2bf,2024-01-22,book_85,Fiction,5,37.97,0.15,161.37
4d2696d6,3a937531,2024-07-12,book_79,Fiction,1,38.03,0.21,30.04
8d20236d,2a106cc2,2024-10-12,book_31,Non-Fiction,3,28.62,0.13,74.7
ff16e704,90dcc18b,2024-09-02,book_40,Non-Fiction,3,37.9,0.24,86.41
8e070e99,de03e535,2024-03-22,book_3,Sci-Fi,4,38.83,0.05,147.55
61a177b6,f8c0338e,2024-06-01,book_92,Non-Fiction,1,27.75,0.15,23.59
e3cbc304,a427394b,2024-01-23,book_73,Sci-Fi,3,39.55,0.21,93.73
0b55c2dc,cfc195b0,2024-04-23,book_2,Fiction,1,28.15,0.14,24.21
66735637,f4ed8712,2024-08-30,book_98,Children,4,47.98,0.16,161.21
904950f3,0d709eb5,2024-02-18,book_9,Sci-Fi,5,15.27,0.15,64.9
a566c164,17af26bd,2024-09-28,book_92,Children,3,47.16,0.03,137.24
fce1c35e,971474fc,2024-10-27,book_37,Educational,1,27.94,0.02,27.38
8c8edbe0,4605cd11,2024-07-30,book_48,Fiction,5,47.19,0.12,207.64
f94aa3f6,ff89f9a0,2024-07-08,book_75,Non-Fiction,3,22.89,0.18,56.31
9e5805ae,ffaf3ed4,2024-01-05,book_97,Educational,5,47.48,0.15,201.79
c0eac156,bbe23275,2024-09-27,book_24,Fiction,2,20.82,0.02,40.81
5358d1a6,3f673f0f,2024-04-30,book_32,Fantasy,4,25.33,0.13,88.15
fba23abd,83805752,2024-10-31,book_15,Fantasy,5,27.85,0.06,130.89
9b9740ad,b8685f6e,2024-06-12,book_65,Romance,5,13.91,0.27,50.77
94cca3bf,2855b2e1,2024-04-02,book_66,Children,3,16.48,0.17,41.04
b255f9c5,6d0d338e,2024-05-07,book_37,Romance,2,22.9,0.15,38.93
1916b9c5,c7708a47,2024-03-10,book_19,Sci-Fi,2,46.79,0.24,71.12
ef96078e,032a1c5c,2024-08-16,book_79,Sci-Fi,1,37.92,0.21,29.96
307c138d,ff46a9aa,2024-09-23,book_25,Sci-Fi,5,36.81,0.04,176.69
